Team,Wins_2020_2021_Unscaled,Wins_2020_2021_Scaled,Draft_Position_2021,Wins_2021_2022
DET,20,22.778,1,23
HOU,17,19.361,2,20
CLE,22,25.056,3,44
TOR,27,30.750,4,48
ORL,21,23.917,5,22
OKC,22,25.056,6,24
MIN,23,26.194,7,46
CHI,31,35.306,8,46
SAC,31,35.306,9,30
NOP,31,35.306,10,36
CHA,33,37.583,11,43
SAS,33,37.583,12,34
IND,34,38.722,13,25
GSW,39,44.417,14,53
WAS,34,38.722,15,35
BOS,36,41.000,16,51
MEM,38,43.278,17,56
MIA,40,45.556,18,53
NYK,41,46.694,19,37
ATL,41,46.694,20,43
DAL,42,47.833,21,52
LAL,42,47.833,22,33
POR,42,47.833,23,27
MIL,46,52.389,24,51
LAC,47,53.528,25,42
DEN,47,53.528,26,48
BKN,48,54.667,27,44
PHL,49,55.806,28,51
PHX,51,58.083,29,64
UTA,52,59.222,30,49
