DATE,OPPONENT,CSUScore,OppScore,ATTENDANCE,RushAtt,RushYards,RushLong,Receptions,RecYards,RecLong,PassYards,PassLong,KR,KRYards,KRLong,PR,PRYards,PRLong
09/03/2022,at Michigan,7,51,109575,39,82,12,16,137,34,137,34,0,0,0,2,0,0
09/10/2022,vs Middle Tenn.,19,34,27641,34,-10,10,20,256,69,256,69,3,73,34,2,10,5
09/17/2022,at Washington St.,7,38,23611,31,37,18,25,212,27,212,27,0,0,0,0,0,0
09/24/2022,vs Sacramento State,10,41,25445,29,75,15,13,178,56,178,56,2,38,23,2,0,0
10/07/2022,at Nevada,17,17,18255,33,177,23,11,78,26,78,26,1,22,22,3,40,28
10/15/2022,vs Utah St.,13,13,35009,34,99,26,12,163,25,163,25,2,23,23,3,50,20
10/22/2022,vs Hawaii,17,17,22843,40,209,67,17,177,31,177,31,0,0,0,0,0,0
10/29/2022,at Boise St.,10,10,33895,20,3,14,14,167,76,167,76,5,96,28,0,0,0
11/05/2022,at San Jose St.,16,16,16382,36,135,56,18,333,42,333,42,2,25,14,1,0,0
11/12/2022,vs Wyoming,13,13,30300,33,121,20,18,251,48,251,48,1,10,10,3,92,72
11/19/2022,at Air Force,12,12,20121,22,65,25,19,179,28,179,28,3,32,18,0,0,0
11/25/2022,vs New Mexico,17,17,20107,34,75,11,20,230,41,230,41,0,0,0,2,8,7
